Fecha,Descripción,Mano de obra (€),Tipo,Marca
2023-10-27,redmi 10 cambio pantalla 55€ cristal camara rot 30€,55.00€,Cambio pantalla,Xiaomi/Redmi
2023-10-27,iphone xs cambio pantalla + tapa trasera + face id 169€,169.00€,Cambio pantalla,Apple
2023-10-27,iphone 11 cambio pantalla compatible 85€ 20€,85.00€,Cambio pantalla,Apple
2023-10-26,SAMSUNG A52 LIMPIEZA CONECTOR 15€ PONER PROTECTOR 15€,15.00€,Puerto carga/conector,Samsung
2023-10-26,S21 FE EL TELEFONO SE HA CAIDO Y FALLA LA COBER 19€,19.00€,Otros,Samsung
2023-10-26,IPHONE X viene con una linea en la pantalla revis 15€,15.00€,Otros,Apple
2023-10-25,"mi 9 se ha apagado y no enciende ni carga, re 89€",89.00€,Otros,Xiaomi/Redmi
2023-10-25,"iphone 11 CAMBIO DE bateria, 55€, CRISTAL PROTEC 20€",55.00€,Cambio batería,Apple
2023-10-25,SAMSUNG A50 CAMBIO DE CAMARA TRASERA 39€ DEJA PA 25€,39.00€,Otros,Samsung
2023-10-25,"Samsung Galaxy M12 Pantalla rota, 85€ cambiar por SERVICE 33€",85.00€,Otros,Samsung
2023-10-25,c21y CAMBIO DE PANTALLA COMPATIBLE 55€. 37€,55.00€,Cambio pantalla,Otras
2023-10-24,IPHONE 12 CAMBIO DE PANTALLA COMPAIIBLE INCELL Y P 72€,72.00€,Cambio pantalla,Apple
2023-10-24,"p10 CAMBIO DE BATERÍA 45€, TIENE ROTO EL 35€",45.00€,Cambio batería,Otras
2023-10-24,"Huawei P20 lite Reparación de pantalla, 55€, chasis s 31€",55.00€,Otros,Huawei/Honor
2023-10-24,A73 5G Quiere cambio de pantalla 59€ 38€,59.00€,Cambio pantalla,Samsung
2023-10-24,"a13 CAMBIO DE PANTALLA COMAPTIBLE 55€, DEJ 31€",55.00€,Cambio pantalla,Samsung
2023-10-24,"iphone 11 se escucha flojo, si es limpieza 15€ m 15€",15.00€,Limpieza,Apple
2023-10-23,vivo y21 cambio pantalla compatible + enderezar c 47€,47.00€,Cambio pantalla,Otras
2023-10-23,"Samsung galaxy tab a7 No carga, reemplazar el puerto de carga, 49€",49.00€,Puerto carga/conector,Samsung
2023-10-23,"iPhone 7 plus Cambio batería,35€ 20€",35.00€,Cambio batería,Apple
2023-10-23,"iphone 11 Cliente viene con la Pantalla rota, camb 20€",20.00€,Otros,Apple
2023-10-21,11 PRO MAX LIMPIEZA CONECTOR 15€ MEDIA HORA 15€,15.00€,Puerto carga/conector,Otras
2023-10-21,"poco x3 NO CARGA, ANTES CARGABA HASTA EL 43%, TI 49€",49.00€,Otros,Otras
2023-10-21,"A50 CAMBIO DE PANTALLA CALIDAD INCELL 55€, 39€",55.00€,Cambio pantalla,Samsung
2023-10-21,"MI 9T REMONTAJE 25€, SE LE DESPEGA LA PANTAL 25€",25.00€,Otros,Xiaomi/Redmi
2023-10-21,Y33S CAMBIO DE PANTALLA COMAPTIBLE CALIDAD PR 32€,32.00€,Cambio pantalla,Otras
2023-10-21,IPHONE 11 LIMPIEZA PUERTO DE CARGA 15€. COLOCAR 15€,15.00€,Puerto carga/conector,Apple
2023-10-20,"REDMI NOTE 9S no se escucha nada, si hay que cambiarlo 35€",35.00€,Otros,Xiaomi/Redmi
2023-10-20,a21s SE REALIZA DEVOLUCION DEVOLVER SIN FUNCI 49€,49.00€,Otros,Samsung
